year,Madagascar,India,Mexico,Canada
1998,1630,839830,373120,486760
1999,1670,904090,360470,495140
2000,1650,940170,384480,515000
2001,1670,953880,382760,506940
2002,1120,987530,388740,525470
2003,1550,1015890,407000,545360
2004,1650,1087190,414190,537250
2005,1710,1137740,432390,549970
2006,1640,1214250,449710,541070
2007,1720,1336100,462410,571310
2008,1780,1423880,477410,550200
2009,1690,1568530,461760,520800
2010,1870,1665310,468940,535030
2011,2190,1760800,480960,547720
2012,2740,1908570,480710,547140
2013,2930,1966810,469860,556350
2014,3050,2136870,458320,561830
2015,3320,2150220,472590,558800
2016,3220,2183280,479250,550480
2017,3500,2301440,471810,562260
